lambda,epoch,train_loss,classification_loss,sparsity_loss,gate_grad_norm_last_batch,test_accuracy,sparsity_pct,mean_gate,median_gate,min_gate,max_gate,gate_q01,gate_q05,gate_q25,gate_q75,gate_q95,gate_q99
0.0,1,1.6614371321695236,1.6614371321695236,3622790.20971867,0.003472228767350316,44.73,0.0,0.9523481130599976,0.9522811770439148,0.946600615978241,0.9583386778831482,0.9507274627685547,0.9512152075767517,0.95183265209198,0.9527879357337952,0.9537296295166016,0.954572856426239
0.0,2,1.4415391890898994,1.4415391890898994,3621997.6368286447,0.004108968656510115,49.81,0.0,0.9521369934082031,0.9520925879478455,0.9429771900177002,0.9615228176116943,0.9493726491928101,0.95023113489151,0.9513324499130249,0.9528349041938782,0.9542931318283081,0.9555764198303223
0.0,3,1.3183036304800713,1.3183036304800713,3621195.2749360614,0.004153786227107048,51.61,0.0,0.9519237875938416,0.9519173502922058,0.9366052150726318,0.9631319642066956,0.9481160044670105,0.9492891430854797,0.9508470892906189,0.9528715014457703,0.954754114151001,0.9563602209091187
0.0,4,1.2262837092589844,1.2262837092589844,3620378.574168798,0.005483812652528286,52.83,0.0,0.9517082571983337,0.9517512321472168,0.934691846370697,0.9644819498062134,0.9468661546707153,0.9483628273010254,0.9503713846206665,0.9529039859771729,0.9551591873168945,0.9570238590240479
0.0,5,1.1390400724032956,1.1390400724032956,3619574.4175191815,0.006530506536364555,53.4,0.0,0.9514950513839722,0.951593279838562,0.9335389137268066,0.9654491543769836,0.9456397891044617,0.9474519491195679,0.9499119520187378,0.9529359936714172,0.9555210471153259,0.9575955867767334
0.0,6,1.058854119552066,1.058854119552066,3618761.7423273656,0.007763732690364122,54.47,0.0,0.9512829780578613,0.9514442682266235,0.9316809177398682,0.9673787951469421,0.944426417350769,0.9465504884719849,0.9494643807411194,0.9529679417610168,0.9558446407318115,0.9581111073493958
0.0,7,0.9818358467058148,0.9818358467058148,3617953.9725063937,0.0070687513798475266,54.01,0.0,0.9510751962661743,0.9513027667999268,0.9298442006111145,0.9675725102424622,0.943224310874939,0.9456684589385986,0.9490358829498291,0.9529978036880493,0.9561407566070557,0.9585633277893066
0.0,8,0.9080614290578896,0.9080614290578896,3617174.5920716114,0.008125916123390198,53.47,0.0,0.9508708715438843,0.9511672258377075,0.9277917742729187,0.9689297080039978,0.9420385956764221,0.9448069334030151,0.9486201405525208,0.953028678894043,0.9564121961593628,0.958981990814209
0.0,9,0.8282462585612637,0.8282462585612637,3616418.9820971866,0.008158051408827305,52.91,0.0,0.9506770372390747,0.951041579246521,0.9257086515426636,0.9703062176704407,0.9409067630767822,0.9439817667007446,0.9482337832450867,0.9530567526817322,0.9566642642021179,0.9593600630760193
0.0,10,0.7627020453095741,0.7627020453095741,3615690.749360614,0.00848446600139141,54.74,0.0,0.9504885673522949,0.950925886631012,0.923244297504425,0.9705670475959778,0.9397954940795898,0.9431794881820679,0.947857141494751,0.9530848860740662,0.9568989872932434,0.9596958756446838
